Datetime,OFFENSE INVOLVING CHILDREN,NARCOTICS,THEFT,BATTERY,CRIMINAL DAMAGE,SEX OFFENSE,CRIM SEXUAL ASSAULT,OTHER OFFENSE,ASSAULT,DECEPTIVE PRACTICE,BURGLARY,MOTOR VEHICLE THEFT,WEAPONS VIOLATION,ROBBERY,CRIMINAL TRESPASS,LIQUOR LAW VIOLATION,PUBLIC PEACE VIOLATION,PROSTITUTION,INTERFERENCE WITH PUBLIC OFFICER,ARSON,CRIMINAL SEXUAL ASSAULT,GAMBLING,STALKING,HOMICIDE,KIDNAPPING,INTIMIDATION,OBSCENITY,OTHER NARCOTIC VIOLATION,PUBLIC INDECENCY,NON-CRIMINAL,HUMAN TRAFFICKING
2010-01-01,124,85,334,273,94,37,54,104,40,101,47,47,37,34,21,2.0,9,7,3,2,6.0,1.0,1,,,,,,,,
2010-01-02,4,115,183,113,68,2,4,66,46,27,46,36,12,41,13,1.0,2,4,3,3,0.0,1.0,1,2.0,,,,,,,
2010-01-03,7,86,148,136,80,1,3,62,44,24,45,39,7,29,30,2.0,6,5,2,0,0.0,0.0,0,1.0,2.0,1.0,,,,,
2010-01-04,6,105,196,127,76,1,4,70,43,47,51,39,10,36,24,2.0,5,5,1,3,0.0,0.0,0,2.0,1.0,1.0,,,,,
2010-01-05,5,138,206,105,91,4,4,59,33,32,72,53,8,36,37,0.0,6,17,0,3,0.0,0.0,1,0.0,2.0,0.0,,,,,
2010-01-06,4,115,170,141,79,4,2,59,53,36,66,40,10,44,38,4.0,8,9,0,1,0.0,0.0,1,0.0,0.0,3.0,,,,,
2010-01-07,2,108,184,141,60,3,3,54,59,37,75,39,6,41,26,1.0,6,12,1,1,0.0,1.0,1,1.0,1.0,1.0,,,,,
2010-01-08,8,118,177,145,71,0,3,69,68,38,75,43,10,43,38,0.0,11,8,1,0,0.0,0.0,1,0.0,4.0,0.0,,,,,
2010-01-09,4,84,188,136,77,1,2,69,40,41,52,37,6,44,21,2.0,4,4,3,2,0.0,1.0,0,2.0,1.0,0.0,,,,,
2010-01-10,9,92,152,151,78,4,2,66,34,33,52,38,7,29,23,2.0,5,3,0,1,0.0,0.0,1,0.0,1.0,0.0,,,,,
2010-01-11,4,111,185,162,84,2,1,85,48,33,101,48,6,36,24,1.0,12,5,2,2,0.0,0.0,0,1.0,2.0,0.0,,,,,
2010-01-12,4,144,211,169,74,3,1,59,55,32,70,66,5,49,32,1.0,14,7,2,2,0.0,0.0,0,1.0,1.0,2.0,,,,,
2010-01-13,3,156,191,158,77,3,1,63,62,33,69,48,15,49,40,1.0,12,3,1,0,0.0,0.0,1,1.0,2.0,2.0,,,,,
2010-01-14,12,132,185,160,112,1,2,79,64,45,84,61,14,58,32,3.0,14,12,3,2,0.0,1.0,1,1.0,0.0,0.0,,,,,
2010-01-15,13,148,264,183,126,3,3,86,61,33,77,66,15,55,39,2.0,14,12,3,2,0.0,2.0,0,0.0,2.0,2.0,1.0,,,,
2010-01-16,3,126,193,172,86,1,1,53,43,31,54,54,15,38,30,6.0,10,11,3,4,1.0,1.0,1,0.0,0.0,0.0,0.0,,,,
2010-01-17,9,101,176,155,104,0,5,67,43,21,49,64,6,55,27,1.0,7,9,1,1,0.0,0.0,0,0.0,1.0,1.0,0.0,,,,
2010-01-18,3,125,210,116,97,2,1,64,46,31,54,57,12,30,32,2.0,10,12,2,1,0.0,0.0,0,1.0,1.0,0.0,0.0,,,,
2010-01-19,9,150,226,141,104,1,4,65,55,35,65,58,14,42,34,2.0,7,20,1,2,0.0,0.0,1,2.0,1.0,0.0,0.0,,,,
2010-01-20,5,151,200,118,83,2,4,50,60,45,84,49,13,41,30,0.0,7,16,2,4,0.0,0.0,1,0.0,2.0,2.0,0.0,,,,
2010-01-21,9,153,176,129,96,3,2,59,65,41,70,47,6,44,32,1.0,8,13,1,0,0.0,0.0,1,1.0,2.0,1.0,0.0,,,,
2010-01-22,10,143,236,192,111,1,1,63,49,35,88,46,9,37,31,3.0,22,10,1,0,0.0,1.0,0,2.0,1.0,2.0,0.0,,,,
2010-01-23,5,142,214,175,132,0,6,63,56,25,59,46,9,44,36,4.0,15,10,3,0,0.0,0.0,0,1.0,0.0,0.0,0.0,,,,
2010-01-24,7,84,149,163,123,7,6,55,47,20,43,36,5,42,28,1.0,4,4,2,2,0.0,0.0,0,1.0,0.0,0.0,0.0,,,,
2010-01-25,7,117,216,140,74,2,1,48,41,49,81,56,4,39,31,2.0,8,6,0,1,0.0,0.0,0,0.0,0.0,2.0,0.0,,,,
2010-01-26,6,147,218,134,80,0,3,81,42,36,68,59,13,35,40,1.0,12,8,1,0,0.0,1.0,0,0.0,1.0,1.0,0.0,,,,
2010-01-27,9,136,167,139,80,3,2,62,46,34,53,57,5,31,36,2.0,16,13,2,1,0.0,1.0,1,0.0,0.0,0.0,0.0,,,,
2010-01-28,3,137,184,154,78,4,2,61,46,20,65,53,13,24,19,1.0,14,13,1,0,0.0,1.0,0,0.0,2.0,0.0,0.0,,,,
2010-01-29,5,151,191,124,86,4,1,51,33,33,46,48,9,40,21,4.0,4,4,2,0,0.0,0.0,1,0.0,2.0,2.0,0.0,,,,
2010-01-30,7,130,189,159,101,1,4,44,30,36,50,35,6,30,26,3.0,11,6,2,2,0.0,0.0,1,0.0,0.0,0.0,0.0,,,,
2010-01-31,6,86,156,156,118,2,3,53,34,25,46,47,8,25,34,2.0,6,10,1,3,0.0,0.0,1,2.0,0.0,0.0,0.0,,,,
2010-02-01,8,128,234,151,93,8,5,100,56,56,76,38,7,28,27,0.0,4,7,3,0,0.0,0.0,0,1.0,1.0,0.0,0.0,,,,
2010-02-02,7,164,190,131,68,3,0,52,48,43,66,40,8,20,31,2.0,9,5,0,0,0.0,0.0,0,3.0,0.0,0.0,0.0,,,,
2010-02-03,9,180,161,168,79,2,1,66,57,37,50,44,9,27,27,2.0,11,6,3,1,0.0,3.0,0,0.0,0.0,1.0,0.0,,,,
2010-02-04,5,166,171,167,80,3,6,65,61,29,57,47,9,22,22,2.0,11,12,6,2,0.0,1.0,0,1.0,4.0,1.0,0.0,,,,
2010-02-05,7,138,204,149,103,2,3,68,54,33,68,39,6,29,29,3.0,9,10,2,5,0.0,1.0,2,0.0,2.0,0.0,0.0,,,,
2010-02-06,3,151,159,136,87,6,2,58,42,32,42,43,10,36,30,5.0,6,5,2,0,0.0,2.0,0,1.0,0.0,0.0,0.0,,,,
2010-02-07,6,80,137,179,107,2,2,56,30,20,44,24,5,27,24,0.0,5,5,2,1,1.0,1.0,0,3.0,1.0,0.0,0.0,,,,
2010-02-08,8,92,181,159,74,1,2,67,48,28,59,47,12,24,23,4.0,7,2,2,2,0.0,2.0,0,0.0,1.0,0.0,0.0,,,,
